x,y,walkable,tile_type,elevation
0,0,0,futureTileType,futureElevationLevel
0,1,0,futureTileType,futureElevationLevel
0,2,0,futureTileType,futureElevationLevel
0,3,1,futureTileType,futureElevationLevel
0,4,0,futureTileType,futureElevationLevel
0,5,1,futureTileType,futureElevationLevel
0,6,0,futureTileType,futureElevationLevel
0,7,0,futureTileType,futureElevationLevel
0,8,0,futureTileType,futureElevationLevel
0,9,0,futureTileType,futureElevationLevel
0,10,1,futureTileType,futureElevationLevel
0,11,0,futureTileType,futureElevationLevel
0,12,0,futureTileType,futureElevationLevel
0,13,1,futureTileType,futureElevationLevel
0,14,0,futureTileType,futureElevationLevel
0,15,0,futureTileType,futureElevationLevel
0,16,0,futureTileType,futureElevationLevel
0,17,0,futureTileType,futureElevationLevel
0,18,1,futureTileType,futureElevationLevel
0,19,0,futureTileType,futureElevationLevel
0,20,0,futureTileType,futureElevationLevel
0,21,1,futureTileType,futureElevationLevel
0,22,1,futureTileType,futureElevationLevel
0,23,0,futureTileType,futureElevationLevel
0,24,0,futureTileType,futureElevationLevel
0,25,0,futureTileType,futureElevationLevel
0,26,1,futureTileType,futureElevationLevel
0,27,1,futureTileType,futureElevationLevel
0,28,1,futureTileType,futureElevationLevel
0,29,0,futureTileType,futureElevationLevel
0,30,0,futureTileType,futureElevationLevel
0,31,1,futureTileType,futureElevationLevel
0,32,0,futureTileType,futureElevationLevel
0,33,0,futureTileType,futureElevationLevel
0,34,0,futureTileType,futureElevationLevel
0,35,1,futureTileType,futureElevationLevel
0,36,0,futureTileType,futureElevationLevel
0,37,0,futureTileType,futureElevationLevel
0,38,0,futureTileType,futureElevationLevel
0,39,0,futureTileType,futureElevationLevel
0,40,1,futureTileType,futureElevationLevel
0,41,1,futureTileType,futureElevationLevel
0,42,1,futureTileType,futureElevationLevel
0,43,0,futureTileType,futureElevationLevel
0,44,0,futureTileType,futureElevationLevel
0,45,0,futureTileType,futureElevationLevel
0,46,0,futureTileType,futureElevationLevel
0,47,1,futureTileType,futureElevationLevel
0,48,0,futureTileType,futureElevationLevel
0,49,0,futureTileType,futureElevationLevel
0,50,0,futureTileType,futureElevationLevel
0,51,0,futureTileType,futureElevationLevel
0,52,0,futureTileType,futureElevationLevel
0,53,0,futureTileType,futureElevationLevel
0,54,0,futureTileType,futureElevationLevel
0,55,0,futureTileType,futureElevationLevel
0,56,1,futureTileType,futureElevationLevel
0,57,0,futureTileType,futureElevationLevel
0,58,0,futureTileType,futureElevationLevel
0,59,0,futureTileType,futureElevationLevel
0,60,1,futureTileType,futureElevationLevel
0,61,0,futureTileType,futureElevationLevel
1,0,0,futureTileType,futureElevationLevel
1,1,0,futureTileType,futureElevationLevel
1,2,0,futureTileType,futureElevationLevel
1,3,1,futureTileType,futureElevationLevel
1,4,0,futureTileType,futureElevationLevel
1,5,0,futureTileType,futureElevationLevel
1,6,0,futureTileType,futureElevationLevel
1,7,0,futureTileType,futureElevationLevel
1,8,0,futureTileType,futureElevationLevel
1,9,1,futureTileType,futureElevationLevel
1,10,0,futureTileType,futureElevationLevel
1,11,0,futureTileType,futureElevationLevel
1,12,0,futureTileType,futureElevationLevel
1,13,0,futureTileType,futureElevationLevel
1,14,1,futureTileType,futureElevationLevel
1,15,1,futureTileType,futureElevationLevel
1,16,0,futureTileType,futureElevationLevel
1,17,0,futureTileType,futureElevationLevel
1,18,0,futureTileType,futureElevationLevel
1,19,1,futureTileType,futureElevationLevel
1,20,0,futureTileType,futureElevationLevel
1,21,0,futureTileType,futureElevationLevel
1,22,0,futureTileType,futureElevationLevel
1,23,0,futureTileType,futureElevationLevel
1,24,0,futureTileType,futureElevationLevel
1,25,0,futureTileType,futureElevationLevel
1,26,0,futureTileType,futureElevationLevel
1,27,1,futureTileType,futureElevationLevel
1,28,0,futureTileType,futureElevationLevel
1,29,0,futureTileType,futureElevationLevel
1,30,1,futureTileType,futureElevationLevel
1,31,1,futureTileType,futureElevationLevel
1,32,0,futureTileType,futureElevationLevel
1,33,0,futureTileType,futureElevationLevel
1,34,1,futureTileType,futureElevationLevel
1,35,0,futureTileType,futureElevationLevel
1,36,0,futureTileType,futureElevationLevel
1,37,0,futureTileType,futureElevationLevel
1,38,0,futureTileType,futureElevationLevel
1,39,1,futureTileType,futureElevationLevel
1,40,0,futureTileType,futureElevationLevel
1,41,0,futureTileType,futureElevationLevel
1,42,1,futureTileType,futureElevationLevel
1,43,0,futureTileType,futureElevationLevel
1,44,0,futureTileType,futureElevationLevel
1,45,1,futureTileType,futureElevationLevel
1,46,0,futureTileType,futureElevationLevel
1,47,0,futureTileType,futureElevationLevel
1,48,1,futureTileType,futureElevationLevel
1,49,0,futureTileType,futureElevationLevel
1,50,1,futureTileType,futureElevationLevel
1,51,0,futureTileType,futureElevationLevel
1,52,0,futureTileType,futureElevationLevel
1,53,0,futureTileType,futureElevationLevel
1,54,0,futureTileType,futureElevationLevel
1,55,0,futureTileType,futureElevationLevel
1,56,0,futureTileType,futureElevationLevel
1,57,1,futureTileType,futureElevationLevel
1,58,0,futureTileType,futureElevationLevel
1,59,0,futureTileType,futureElevationLevel
1,60,0,futureTileType,futureElevationLevel
1,61,0,futureTileType,futureElevationLevel
2,0,0,futureTileType,futureElevationLevel
2,1,0,futureTileType,futureElevationLevel
2,2,0,futureTileType,futureElevationLevel
2,3,0,futureTileType,futureElevationLevel
2,4,0,futureTileType,futureElevationLevel
2,5,0,futureTileType,futureElevationLevel
2,6,0,futureTileType,futureElevationLevel
2,7,0,futureTileType,futureElevationLevel
2,8,0,futureTileType,futureElevationLevel
2,9,1,futureTileType,futureElevationLevel
2,10,0,futureTileType,futureElevationLevel
2,11,0,futureTileType,futureElevationLevel
2,12,1,futureTileType,futureElevationLevel
2,13,0,futureTileType,futureElevationLevel
2,14,1,futureTileType,futureElevationLevel
2,15,0,futureTileType,futureElevationLevel
2,16,0,futureTileType,futureElevationLevel
2,17,0,futureTileType,futureElevationLevel
2,18,0,futureTileType,futureElevationLevel
2,19,0,futureTileType,futureElevationLevel
2,20,0,futureTileType,futureElevationLevel
2,21,1,futureTileType,futureElevationLevel
2,22,1,futureTileType,futureElevationLevel
2,23,0,futureTileType,futureElevationLevel
2,24,1,futureTileType,futureElevationLevel
2,25,0,futureTileType,futureElevationLevel
2,26,1,futureTileType,futureElevationLevel
2,27,0,futureTileType,futureElevationLevel
2,28,1,futureTileType,futureElevationLevel
2,29,0,futureTileType,futureElevationLevel
2,30,1,futureTileType,futureElevationLevel
2,31,0,futureTileType,futureElevationLevel
2,32,1,futureTileType,futureElevationLevel
2,33,0,futureTileType,futureElevationLevel
2,34,0,futureTileType,futureElevationLevel
2,35,0,futureTileType,futureElevationLevel
2,36,1,futureTileType,futureElevationLevel
2,37,0,futureTileType,futureElevationLevel
2,38,1,futureTileType,futureElevationLevel
2,39,0,futureTileType,futureElevationLevel
2,40,0,futureTileType,futureElevationLevel
2,41,0,futureTileType,futureElevationLevel
2,42,0,futureTileType,futureElevationLevel
2,43,0,futureTileType,futureElevationLevel
2,44,1,futureTileType,futureElevationLevel
2,45,0,futureTileType,futureElevationLevel
2,46,0,futureTileType,futureElevationLevel
2,47,0,futureTileType,futureElevationLevel
2,48,0,futureTileType,futureElevationLevel
2,49,1,futureTileType,futureElevationLevel
2,50,0,futureTileType,futureElevationLevel
2,51,1,futureTileType,futureElevationLevel
2,52,0,futureTileType,futureElevationLevel
2,53,0,futureTileType,futureElevationLevel
2,54,0,futureTileType,futureElevationLevel
2,55,0,futureTileType,futureElevationLevel
2,56,0,futureTileType,futureElevationLevel
2,57,0,futureTileType,futureElevationLevel
2,58,0,futureTileType,futureElevationLevel
2,59,0,futureTileType,futureElevationLevel
2,60,1,futureTileType,futureElevationLevel
2,61,0,futureTileType,futureElevationLevel
3,0,1,futureTileType,futureElevationLevel
3,1,0,futureTileType,futureElevationLevel
3,2,1,futureTileType,futureElevationLevel
3,3,0,futureTileType,futureElevationLevel
3,4,1,futureTileType,futureElevationLevel
3,5,0,futureTileType,futureElevationLevel
3,6,0,futureTileType,futureElevationLevel
3,7,0,futureTileType,futureElevationLevel
3,8,1,futureTileType,futureElevationLevel
3,9,1,futureTileType,futureElevationLevel
3,10,1,futureTileType,futureElevationLevel
3,11,1,futureTileType,futureElevationLevel
3,12,1,futureTileType,futureElevationLevel
3,13,1,futureTileType,futureElevationLevel
3,14,1,futureTileType,futureElevationLevel
3,15,1,futureTileType,futureElevationLevel
3,16,0,futureTileType,futureElevationLevel
3,17,0,futureTileType,futureElevationLevel
3,18,1,futureTileType,futureElevationLevel
3,19,0,futureTileType,futureElevationLevel
3,20,1,futureTileType,futureElevationLevel
3,21,0,futureTileType,futureElevationLevel
3,22,0,futureTileType,futureElevationLevel
3,23,1,futureTileType,futureElevationLevel
3,24,1,futureTileType,futureElevationLevel
3,25,1,futureTileType,futureElevationLevel
3,26,0,futureTileType,futureElevationLevel
3,27,1,futureTileType,futureElevationLevel
3,28,0,futureTileType,futureElevationLevel
3,29,1,futureTileType,futureElevationLevel
3,30,0,futureTileType,futureElevationLevel
3,31,0,futureTileType,futureElevationLevel
3,32,0,futureTileType,futureElevationLevel
3,33,0,futureTileType,futureElevationLevel
3,34,1,futureTileType,futureElevationLevel
3,35,0,futureTileType,futureElevationLevel
3,36,1,futureTileType,futureElevationLevel
3,37,1,futureTileType,futureElevationLevel
3,38,0,futureTileType,futureElevationLevel
3,39,1,futureTileType,futureElevationLevel
3,40,0,futureTileType,futureElevationLevel
3,41,1,futureTileType,futureElevationLevel
3,42,0,futureTileType,futureElevationLevel
3,43,0,futureTileType,futureElevationLevel
3,44,0,futureTileType,futureElevationLevel
3,45,0,futureTileType,futureElevationLevel
3,46,0,futureTileType,futureElevationLevel
3,47,0,futureTileType,futureElevationLevel
3,48,1,futureTileType,futureElevationLevel
3,49,0,futureTileType,futureElevationLevel
3,50,0,futureTileType,futureElevationLevel
3,51,1,futureTileType,futureElevationLevel
3,52,0,futureTileType,futureElevationLevel
3,53,0,futureTileType,futureElevationLevel
3,54,0,futureTileType,futureElevationLevel
3,55,0,futureTileType,futureElevationLevel
3,56,0,futureTileType,futureElevationLevel
3,57,0,futureTileType,futureElevationLevel
3,58,0,futureTileType,futureElevationLevel
3,59,0,futureTileType,futureElevationLevel
3,60,1,futureTileType,futureElevationLevel
3,61,0,futureTileType,futureElevationLevel
4,0,0,futureTileType,futureElevationLevel
4,1,1,futureTileType,futureElevationLevel
4,2,1,futureTileType,futureElevationLevel
4,3,0,futureTileType,futureElevationLevel
4,4,0,futureTileType,futureElevationLevel
4,5,0,futureTileType,futureElevationLevel
4,6,1,futureTileType,futureElevationLevel
4,7,0,futureTileType,futureElevationLevel
4,8,0,futureTileType,futureElevationLevel
4,9,0,futureTileType,futureElevationLevel
4,10,0,futureTileType,futureElevationLevel
4,11,0,futureTileType,futureElevationLevel
4,12,0,futureTileType,futureElevationLevel
4,13,0,futureTileType,futureElevationLevel
4,14,0,futureTileType,futureElevationLevel
4,15,1,futureTileType,futureElevationLevel
4,16,0,futureTileType,futureElevationLevel
4,17,0,futureTileType,futureElevationLevel
4,18,1,futureTileType,futureElevationLevel
4,19,0,futureTileType,futureElevationLevel
4,20,1,futureTileType,futureElevationLevel
4,21,0,futureTileType,futureElevationLevel
4,22,0,futureTileType,futureElevationLevel
4,23,0,futureTileType,futureElevationLevel
4,24,0,futureTileType,futureElevationLevel
4,25,0,futureTileType,futureElevationLevel
4,26,0,futureTileType,futureElevationLevel
4,27,1,futureTileType,futureElevationLevel
4,28,1,futureTileType,futureElevationLevel
4,29,1,futureTileType,futureElevationLevel
4,30,1,futureTileType,futureElevationLevel
4,31,0,futureTileType,futureElevationLevel
4,32,0,futureTileType,futureElevationLevel
4,33,0,futureTileType,futureElevationLevel
4,34,1,futureTileType,futureElevationLevel
4,35,0,futureTileType,futureElevationLevel
4,36,0,futureTileType,futureElevationLevel
4,37,1,futureTileType,futureElevationLevel
4,38,1,futureTileType,futureElevationLevel
4,39,0,futureTileType,futureElevationLevel
4,40,0,futureTileType,futureElevationLevel
4,41,0,futureTileType,futureElevationLevel
4,42,0,futureTileType,futureElevationLevel
4,43,1,futureTileType,futureElevationLevel
4,44,1,futureTileType,futureElevationLevel
4,45,0,futureTileType,futureElevationLevel
4,46,0,futureTileType,futureElevationLevel
4,47,0,futureTileType,futureElevationLevel
4,48,0,futureTileType,futureElevationLevel
4,49,0,futureTileType,futureElevationLevel
4,50,1,futureTileType,futureElevationLevel
4,51,0,futureTileType,futureElevationLevel
4,52,0,futureTileType,futureElevationLevel
4,53,0,futureTileType,futureElevationLevel
4,54,0,futureTileType,futureElevationLevel
4,55,0,futureTileType,futureElevationLevel
4,56,1,futureTileType,futureElevationLevel
4,57,0,futureTileType,futureElevationLevel
4,58,0,futureTileType,futureElevationLevel
4,59,0,futureTileType,futureElevationLevel
4,60,0,futureTileType,futureElevationLevel
4,61,1,futureTileType,futureElevationLevel
5,0,0,futureTileType,futureElevationLevel
5,1,0,futureTileType,futureElevationLevel
5,2,1,futureTileType,futureElevationLevel
5,3,0,futureTileType,futureElevationLevel
5,4,0,futureTileType,futureElevationLevel
5,5,1,futureTileType,futureElevationLevel
5,6,0,futureTileType,futureElevationLevel
5,7,0,futureTileType,futureElevationLevel
5,8,0,futureTileType,futureElevationLevel
5,9,0,futureTileType,futureElevationLevel
5,10,0,futureTileType,futureElevationLevel
5,11,0,futureTileType,futureElevationLevel
5,12,0,futureTileType,futureElevationLevel
5,13,0,futureTileType,futureElevationLevel
5,14,0,futureTileType,futureElevationLevel
5,15,0,futureTileType,futureElevationLevel
5,16,0,futureTileType,futureElevationLevel
5,17,1,futureTileType,futureElevationLevel
5,18,0,futureTileType,futureElevationLevel
5,19,1,futureTileType,futureElevationLevel
5,20,0,futureTileType,futureElevationLevel
5,21,0,futureTileType,futureElevationLevel
5,22,0,futureTileType,futureElevationLevel
5,23,0,futureTileType,futureElevationLevel
5,24,1,futureTileType,futureElevationLevel
5,25,1,futureTileType,futureElevationLevel
5,26,1,futureTileType,futureElevationLevel
5,27,0,futureTileType,futureElevationLevel
5,28,0,futureTileType,futureElevationLevel
5,29,0,futureTileType,futureElevationLevel
5,30,1,futureTileType,futureElevationLevel
5,31,0,futureTileType,futureElevationLevel
5,32,0,futureTileType,futureElevationLevel
5,33,0,futureTileType,futureElevationLevel
5,34,1,futureTileType,futureElevationLevel
5,35,1,futureTileType,futureElevationLevel
5,36,0,futureTileType,futureElevationLevel
5,37,0,futureTileType,futureElevationLevel
5,38,1,futureTileType,futureElevationLevel
5,39,0,futureTileType,futureElevationLevel
5,40,1,futureTileType,futureElevationLevel
5,41,0,futureTileType,futureElevationLevel
5,42,0,futureTileType,futureElevationLevel
5,43,0,futureTileType,futureElevationLevel
5,44,0,futureTileType,futureElevationLevel
5,45,0,futureTileType,futureElevationLevel
5,46,0,futureTileType,futureElevationLevel
5,47,1,futureTileType,futureElevationLevel
5,48,0,futureTileType,futureElevationLevel
5,49,0,futureTileType,futureElevationLevel
5,50,0,futureTileType,futureElevationLevel
5,51,0,futureTileType,futureElevationLevel
5,52,0,futureTileType,futureElevationLevel
5,53,0,futureTileType,futureElevationLevel
5,54,0,futureTileType,futureElevationLevel
5,55,0,futureTileType,futureElevationLevel
5,56,0,futureTileType,futureElevationLevel
5,57,0,futureTileType,futureElevationLevel
5,58,0,futureTileType,futureElevationLevel
5,59,1,futureTileType,futureElevationLevel
5,60,0,futureTileType,futureElevationLevel
5,61,1,futureTileType,futureElevationLevel
6,0,0,futureTileType,futureElevationLevel
6,1,0,futureTileType,futureElevationLevel
6,2,0,futureTileType,futureElevationLevel
6,3,1,futureTileType,futureElevationLevel
6,4,0,futureTileType,futureElevationLevel
6,5,1,futureTileType,futureElevationLevel
6,6,0,futureTileType,futureElevationLevel
6,7,1,futureTileType,futureElevationLevel
6,8,0,futureTileType,futureElevationLevel
6,9,1,futureTileType,futureElevationLevel
6,10,0,futureTileType,futureElevationLevel
6,11,0,futureTileType,futureElevationLevel
6,12,1,futureTileType,futureElevationLevel
6,13,1,futureTileType,futureElevationLevel
6,14,0,futureTileType,futureElevationLevel
6,15,1,futureTileType,futureElevationLevel
6,16,1,futureTileType,futureElevationLevel
6,17,1,futureTileType,futureElevationLevel
6,18,0,futureTileType,futureElevationLevel
6,19,0,futureTileType,futureElevationLevel
6,20,0,futureTileType,futureElevationLevel
6,21,0,futureTileType,futureElevationLevel
6,22,0,futureTileType,futureElevationLevel
6,23,0,futureTileType,futureElevationLevel
6,24,0,futureTileType,futureElevationLevel
6,25,0,futureTileType,futureElevationLevel
6,26,1,futureTileType,futureElevationLevel
6,27,0,futureTileType,futureElevationLevel
